"SecondaryStratumID","Timestep","Amount","TransitionGroupID"
"Candiac",3,79.515,"Reforestation [Type]"
"Carignan",1,123.12,"Reforestation [Type]"
"Carignan",2,71.19,"Reforestation [Type]"
"Carignan",3,97.155,"Reforestation [Type]"
"Chambly",1,79.92,"Reforestation [Type]"
"Chambly",2,26.91,"Reforestation [Type]"
"Chambly",3,53.415,"Reforestation [Type]"
"Châteauguay",1,65.61,"Reforestation [Type]"
"Châteauguay",2,35.64,"Reforestation [Type]"
"Châteauguay",3,50.625,"Reforestation [Type]"
"Contrecoeur",1,92.52,"Reforestation [Type]"
"Contrecoeur",2,67.05,"Reforestation [Type]"
"Contrecoeur",3,79.785,"Reforestation [Type]"
"Coteau-du-Lac",1,72.18,"Reforestation [Type]"
"Coteau-du-Lac",2,23.22,"Reforestation [Type]"
"Coteau-du-Lac",3,47.7,"Reforestation [Type]"
"Cowansville",1,130.32,"Reforestation [Type]"
"Cowansville",2,67.23,"Reforestation [Type]"
"Cowansville",3,98.775,"Reforestation [Type]"
"Delson",1,33.39,"Reforestation [Type]"
"Delson",2,11.34,"Reforestation [Type]"
"Delson",3,22.365,"Reforestation [Type]"
"Dundee",1,270.9,"Reforestation [Type]"
"Dundee",2,6.48,"Reforestation [Type]"
"Dundee",3,138.69,"Reforestation [Type]"
"Dunham",1,246.78,"Reforestation [Type]"
"Dunham",2,77.04,"Reforestation [Type]"
"Dunham",3,161.91,"Reforestation [Type]"
"East Farnham",1,18.81,"Reforestation [Type]"
"East Farnham",2,5.49,"Reforestation [Type]"
"East Farnham",3,12.15,"Reforestation [Type]"
"Elgin",1,120.51,"Reforestation [Type]"
"Elgin",2,3.78,"Reforestation [Type]"
"Elgin",3,62.145,"Reforestation [Type]"
"Farnham",1,169.83,"Reforestation [Type]"
"Farnham",2,84.42,"Reforestation [Type]"
"Farnham",3,127.125,"Reforestation [Type]"
"Franklin",1,199.98,"Reforestation [Type]"
"Franklin",2,25.11,"Reforestation [Type]"
"Franklin",3,112.545,"Reforestation [Type]"
"Frelighsburg",1,91.71,"Reforestation [Type]"
"Frelighsburg",2,17.01,"Reforestation [Type]"
"Frelighsburg",3,54.36,"Reforestation [Type]"
"Godmanchester",1,336.33,"Reforestation [Type]"
"Godmanchester",2,7.65,"Reforestation [Type]"
"Godmanchester",3,171.99,"Reforestation [Type]"
"Granby",1,381.33,"Reforestation [Type]"
"Granby",2,312.66,"Reforestation [Type]"
"Granby",3,346.995,"Reforestation [Type]"
"Havelock",1,86.49,"Reforestation [Type]"
"Havelock",2,33.75,"Reforestation [Type]"
"Havelock",3,60.12,"Reforestation [Type]"
"Hemmingford",1,156.51,"Reforestation [Type]"
"Hemmingford",2,42.48,"Reforestation [Type]"
"Hemmingford",3,99.495,"Reforestation [Type]"
"Henryville",1,10.71,"Reforestation [Type]"
"Henryville",2,0.81,"Reforestation [Type]"
"Henryville",3,5.76,"Reforestation [Type]"
"Hinchinbrooke",1,302.76,"Reforestation [Type]"
"Hinchinbrooke",2,83.34,"Reforestation [Type]"
"Hinchinbrooke",3,193.05,"Reforestation [Type]"
"Howick",1,0.27,"Reforestation [Type]"
"Howick",2,0,"Reforestation [Type]"
"Howick",3,0.135,"Reforestation [Type]"
"Hudson",1,53.19,"Reforestation [Type]"
"Hudson",2,152.1,"Reforestation [Type]"
"Hudson",3,102.645,"Reforestation [Type]"
"Huntingdon",1,1.26,"Reforestation [Type]"
"Huntingdon",2,0.54,"Reforestation [Type]"
"Huntingdon",3,0.9,"Reforestation [Type]"
"Kahnawake",1,113.76,"Reforestation [Type]"
"Kahnawake",2,50.67,"Reforestation [Type]"
"Kahnawake",3,82.215,"Reforestation [Type]"
"L'Île-Cadieux",1,0,"Reforestation [Type]"
"L'Île-Cadieux",2,0,"Reforestation [Type]"
"L'Île-Cadieux",3,0,"Reforestation [Type]"
"L'Île-Perrot",1,24.66,"Reforestation [Type]"
"L'Île-Perrot",2,38.43,"Reforestation [Type]"
"L'Île-Perrot",3,31.545,"Reforestation [Type]"
"La Prairie",1,78.66,"Reforestation [Type]"
"La Prairie",2,52.02,"Reforestation [Type]"
"La Prairie",3,65.34,"Reforestation [Type]"
"La Présentation",1,81.09,"Reforestation [Type]"
"La Présentation",2,9.9,"Reforestation [Type]"
"La Présentation",3,45.495,"Reforestation [Type]"
"Lac-Brome",1,557.55,"Reforestation [Type]"
"Lac-Brome",2,197.19,"Reforestation [Type]"
"Lac-Brome",3,377.37,"Reforestation [Type]"
"Lacolle",1,25.83,"Reforestation [Type]"
"Lacolle",2,2.88,"Reforestation [Type]"
"Lacolle",3,14.355,"Reforestation [Type]"
"Léry",1,20.25,"Reforestation [Type]"
"Léry",2,2.97,"Reforestation [Type]"
"Léry",3,11.61,"Reforestation [Type]"
"Les Cèdres",1,60.93,"Reforestation [Type]"
"Les Cèdres",2,27.99,"Reforestation [Type]"
"Les Cèdres",3,44.46,"Reforestation [Type]"
"Les Coteaux",1,38.07,"Reforestation [Type]"
"Les Coteaux",2,24.21,"Reforestation [Type]"
"Les Coteaux",3,31.14,"Reforestation [Type]"
"Longueuil",1,231.12,"Reforestation [Type]"
"Longueuil",2,131.04,"Reforestation [Type]"
"Longueuil",3,181.08,"Reforestation [Type]"
"Marieville",1,82.44,"Reforestation [Type]"
"Marieville",2,4.86,"Reforestation [Type]"
"Marieville",3,43.65,"Reforestation [Type]"
"Massueville",1,2.79,"Reforestation [Type]"
"Massueville",2,0.99,"Reforestation [Type]"
"Massueville",3,1.89,"Reforestation [Type]"
"McMasterville",1,1.8,"Reforestation [Type]"
"McMasterville",2,2.25,"Reforestation [Type]"
"McMasterville",3,2.025,"Reforestation [Type]"
"Mercier",1,53.28,"Reforestation [Type]"
"Mercier",2,15.84,"Reforestation [Type]"
"Mercier",3,34.56,"Reforestation [Type]"
"Mont-Saint-Grégoire",1,87.3,"Reforestation [Type]"
"Mont-Saint-Grégoire",2,4.41,"Reforestation [Type]"
"Mont-Saint-Grégoire",3,45.855,"Reforestation [Type]"
"Mont-Saint-Hilaire",1,128.25,"Reforestation [Type]"
"Mont-Saint-Hilaire",2,63.63,"Reforestation [Type]"
"Mont-Saint-Hilaire",3,95.94,"Reforestation [Type]"
"Napierville",1,3.24,"Reforestation [Type]"
"Napierville",2,4.86,"Reforestation [Type]"
"Napierville",3,4.05,"Reforestation [Type]"
"Notre-Dame-de-l'Île-Perrot",1,51.21,"Reforestation [Type]"
"Notre-Dame-de-l'Île-Perrot",2,70.29,"Reforestation [Type]"
"Notre-Dame-de-l'Île-Perrot",3,60.75,"Reforestation [Type]"
"Notre-Dame-de-Stanbridge",1,4.23,"Reforestation [Type]"
"Notre-Dame-de-Stanbridge",2,0.99,"Reforestation [Type]"
"Notre-Dame-de-Stanbridge",3,2.61,"Reforestation [Type]"
"Noyan",1,26.91,"Reforestation [Type]"
"Noyan",2,17.64,"Reforestation [Type]"
"Noyan",3,22.275,"Reforestation [Type]"
"Ormstown",1,209.43,"Reforestation [Type]"
"Ormstown",2,12.51,"Reforestation [Type]"
"Ormstown",3,110.97,"Reforestation [Type]"
"Otterburn Park",1,47.25,"Reforestation [Type]"
"Otterburn Park",2,9.18,"Reforestation [Type]"
"Otterburn Park",3,28.215,"Reforestation [Type]"
"Pike River",1,5.49,"Reforestation [Type]"
"Pike River",2,1.44,"Reforestation [Type]"
"Pike River",3,3.465,"Reforestation [Type]"
"Pincourt",1,17.46,"Reforestation [Type]"
"Pincourt",2,106.83,"Reforestation [Type]"
"Pincourt",3,62.145,"Reforestation [Type]"
"Pointe-des-Cascades",1,9.72,"Reforestation [Type]"
"Pointe-des-Cascades",2,6.03,"Reforestation [Type]"
"Pointe-des-Cascades",3,7.875,"Reforestation [Type]"
"Pointe-Fortune",1,18.54,"Reforestation [Type]"
"Pointe-Fortune",2,16.56,"Reforestation [Type]"
"Pointe-Fortune",3,17.55,"Reforestation [Type]"
"Richelieu",1,42.93,"Reforestation [Type]"
"Richelieu",2,2.25,"Reforestation [Type]"
"Richelieu",3,22.59,"Reforestation [Type]"
"Rigaud",1,68.94,"Reforestation [Type]"
"Rigaud",2,183.87,"Reforestation [Type]"
"Rigaud",3,126.405,"Reforestation [Type]"
"Rivière-Beaudette",1,46.44,"Reforestation [Type]"
"Rivière-Beaudette",2,29.52,"Reforestation [Type]"
"Rivière-Beaudette",3,37.98,"Reforestation [Type]"
"Rougemont",1,53.73,"Reforestation [Type]"
"Rougemont",2,12.51,"Reforestation [Type]"
"Rougemont",3,33.12,"Reforestation [Type]"
"Roxton",1,190.35,"Reforestation [Type]"
"Roxton",2,10.62,"Reforestation [Type]"
"Roxton",3,100.485,"Reforestation [Type]"
"Roxton Falls",1,15.03,"Reforestation [Type]"
"Roxton Falls",2,6.21,"Reforestation [Type]"
"Roxton Falls",3,10.62,"Reforestation [Type]"
"Roxton Pond",1,225.27,"Reforestation [Type]"
"Roxton Pond",2,51.39,"Reforestation [Type]"
"Roxton Pond",3,138.33,"Reforestation [Type]"
"Saint-Aimé",1,77.49,"Reforestation [Type]"
"Saint-Aimé",2,1.35,"Reforestation [Type]"
"Saint-Aimé",3,39.42,"Reforestation [Type]"
"Saint-Alexandre",1,51.39,"Reforestation [Type]"
"Saint-Alexandre",2,6.3,"Reforestation [Type]"
"Saint-Alexandre",3,28.845,"Reforestation [Type]"
"Saint-Alphonse-de-Granby",1,131.76,"Reforestation [Type]"
"Saint-Alphonse-de-Granby",2,167.4,"Reforestation [Type]"
"Saint-Alphonse-de-Granby",3,149.58,"Reforestation [Type]"
"Saint-Amable",1,73.08,"Reforestation [Type]"
"Saint-Amable",2,12.51,"Reforestation [Type]"
"Saint-Amable",3,42.795,"Reforestation [Type]"
"Saint-Anicet",1,167.85,"Reforestation [Type]"
"Saint-Anicet",2,68.4,"Reforestation [Type]"
"Saint-Anicet",3,118.125,"Reforestation [Type]"
"Saint-Antoine-sur-Richelieu",1,57.51,"Reforestation [Type]"
"Saint-Antoine-sur-Richelieu",2,1.26,"Reforestation [Type]"
"Saint-Antoine-sur-Richelieu",3,29.385,"Reforestation [Type]"
"Saint-Armand",1,70.2,"Reforestation [Type]"
"Saint-Armand",2,46.71,"Reforestation [Type]"
"Saint-Armand",3,58.455,"Reforestation [Type]"
"Saint-Barnabé-Sud",1,39.33,"Reforestation [Type]"
"Saint-Barnabé-Sud",2,0.54,"Reforestation [Type]"
"Saint-Barnabé-Sud",3,19.935,"Reforestation [Type]"
"Saint-Basile-le-Grand",1,34.2,"Reforestation [Type]"
"Saint-Basile-le-Grand",2,4.14,"Reforestation [Type]"
"Saint-Basile-le-Grand",3,19.17,"Reforestation [Type]"
"Saint-Bernard-de-Lacolle",1,31.41,"Reforestation [Type]"
"Saint-Bernard-de-Lacolle",2,23.58,"Reforestation [Type]"
"Saint-Bernard-de-Lacolle",3,27.495,"Reforestation [Type]"
"Saint-Bernard-de-Michaudville",1,70.74,"Reforestation [Type]"
"Saint-Bernard-de-Michaudville",2,1.8,"Reforestation [Type]"
"Saint-Bernard-de-Michaudville",3,36.27,"Reforestation [Type]"
"Saint-Blaise-sur-Richelieu",1,3.33,"Reforestation [Type]"
"Saint-Blaise-sur-Richelieu",2,10.35,"Reforestation [Type]"
"Saint-Blaise-sur-Richelieu",3,6.84,"Reforestation [Type]"
"Saint-Bruno-de-Montarville",1,140.13,"Reforestation [Type]"
"Saint-Bruno-de-Montarville",2,63.36,"Reforestation [Type]"
"Saint-Bruno-de-Montarville",3,101.745,"Reforestation [Type]"
"Saint-Césaire",1,99.09,"Reforestation [Type]"
"Saint-Césaire",2,3.6,"Reforestation [Type]"
"Saint-Césaire",3,51.345,"Reforestation [Type]"
"Saint-Charles-sur-Richelieu",1,65.97,"Reforestation [Type]"
"Saint-Charles-sur-Richelieu",2,2.07,"Reforestation [Type]"
"Saint-Charles-sur-Richelieu",3,34.02,"Reforestation [Type]"
"Saint-Chrysostome",1,250.92,"Reforestation [Type]"
"Saint-Chrysostome",2,26.55,"Reforestation [Type]"
"Saint-Chrysostome",3,138.735,"Reforestation [Type]"
"Saint-Clet",1,15.21,"Reforestation [Type]"
"Saint-Clet",2,1.26,"Reforestation [Type]"
"Saint-Clet",3,8.235,"Reforestation [Type]"
"Saint-Constant",1,48.87,"Reforestation [Type]"
"Saint-Constant",2,12.51,"Reforestation [Type]"
"Saint-Constant",3,30.69,"Reforestation [Type]"
"Saint-Cyprien-de-Napierville",1,9.72,"Reforestation [Type]"
"Saint-Cyprien-de-Napierville",2,4.5,"Reforestation [Type]"
"Saint-Cyprien-de-Napierville",3,7.11,"Reforestation [Type]"
"Saint-Damase",1,58.05,"Reforestation [Type]"
"Saint-Damase",2,0.45,"Reforestation [Type]"
"Saint-Damase",3,29.25,"Reforestation [Type]"
"Saint-David",1,99.27,"Reforestation [Type]"
"Saint-David",2,7.74,"Reforestation [Type]"
"Saint-David",3,53.505,"Reforestation [Type]"
"Saint-Denis-sur-Richelieu",1,61.56,"Reforestation [Type]"
"Saint-Denis-sur-Richelieu",2,1.26,"Reforestation [Type]"
"Saint-Denis-sur-Richelieu",3,31.41,"Reforestation [Type]"
"Saint-Dominique",1,149.67,"Reforestation [Type]"
"Saint-Dominique",2,2.7,"Reforestation [Type]"
"Saint-Dominique",3,76.185,"Reforestation [Type]"
"Saint-Édouard",1,106.38,"Reforestation [Type]"
"Saint-Édouard",2,6.93,"Reforestation [Type]"
"Saint-Édouard",3,56.655,"Reforestation [Type]"
"Saint-Étienne-de-Beauharnois",1,51.66,"Reforestation [Type]"
"Saint-Étienne-de-Beauharnois",2,0.18,"Reforestation [Type]"
"Saint-Étienne-de-Beauharnois",3,25.92,"Reforestation [Type]"
"Saint-Georges-de-Clarenceville",1,26.55,"Reforestation [Type]"
"Saint-Georges-de-Clarenceville",2,31.32,"Reforestation [Type]"
"Saint-Georges-de-Clarenceville",3,28.935,"Reforestation [Type]"
"Saint-Gérard-Majella",1,34.83,"Reforestation [Type]"
"Saint-Gérard-Majella",2,1.08,"Reforestation [Type]"
"Saint-Gérard-Majella",3,17.955,"Reforestation [Type]"
"Saint-Hugues",1,64.35,"Reforestation [Type]"
"Saint-Hugues",2,4.68,"Reforestation [Type]"
"Saint-Hugues",3,34.515,"Reforestation [Type]"
"Saint-Hyacinthe",1,174.87,"Reforestation [Type]"
"Saint-Hyacinthe",2,20.97,"Reforestation [Type]"
"Saint-Hyacinthe",3,97.92,"Reforestation [Type]"
"Saint-Ignace-de-Stanbridge",1,103.32,"Reforestation [Type]"
"Saint-Ignace-de-Stanbridge",2,12.51,"Reforestation [Type]"
"Saint-Ignace-de-Stanbridge",3,57.915,"Reforestation [Type]"
"Saint-Isidore",1,42.93,"Reforestation [Type]"
"Saint-Isidore",2,0.72,"Reforestation [Type]"
"Saint-Isidore",3,21.825,"Reforestation [Type]"
"Saint-Jacques-le-Mineur",1,18.27,"Reforestation [Type]"
"Saint-Jacques-le-Mineur",2,1.62,"Reforestation [Type]"
"Saint-Jacques-le-Mineur",3,9.945,"Reforestation [Type]"
"Saint-Jean-Baptiste",1,63.27,"Reforestation [Type]"
"Saint-Jean-Baptiste",2,2.61,"Reforestation [Type]"
"Saint-Jean-Baptiste",3,32.94,"Reforestation [Type]"
"Saint-Jean-sur-Richelieu",1,292.41,"Reforestation [Type]"
"Saint-Jean-sur-Richelieu",2,94.5,"Reforestation [Type]"
"Saint-Jean-sur-Richelieu",3,193.455,"Reforestation [Type]"
"Saint-Joachim-de-Shefford",1,388.53,"Reforestation [Type]"
"Saint-Joachim-de-Shefford",2,36.63,"Reforestation [Type]"
"Saint-Joachim-de-Shefford",3,212.58,"Reforestation [Type]"
"Saint-Joseph-de-Sorel",1,0.18,"Reforestation [Type]"
"Saint-Joseph-de-Sorel",2,0.09,"Reforestation [Type]"
"Saint-Joseph-de-Sorel",3,0.135,"Reforestation [Type]"
"Saint-Jude",1,88.47,"Reforestation [Type]"
"Saint-Jude",2,4.5,"Reforestation [Type]"
"Saint-Jude",3,46.485,"Reforestation [Type]"
"Saint-Lambert",1,0,"Reforestation [Type]"
"Saint-Lambert",2,0.09,"Reforestation [Type]"
"Saint-Lambert",3,0.045,"Reforestation [Type]"
"Saint-Lazare",1,113.76,"Reforestation [Type]"
"Saint-Lazare",2,432.18,"Reforestation [Type]"
"Saint-Lazare",3,272.97,"Reforestation [Type]"
"Saint-Liboire",1,104.13,"Reforestation [Type]"
"Saint-Liboire",2,9.09,"Reforestation [Type]"
"Saint-Liboire",3,56.61,"Reforestation [Type]"
"Saint-Louis",1,66.42,"Reforestation [Type]"
"Saint-Louis",2,4.5,"Reforestation [Type]"
"Saint-Louis",3,35.46,"Reforestation [Type]"
"Saint-Louis-de-Gonzague",1,97.2,"Reforestation [Type]"
"Saint-Louis-de-Gonzague",2,3.24,"Reforestation [Type]"
"Saint-Louis-de-Gonzague",3,50.22,"Reforestation [Type]"
"Saint-Marc-sur-Richelieu",1,39.24,"Reforestation [Type]"
"Saint-Marc-sur-Richelieu",2,2.88,"Reforestation [Type]"
"Saint-Marc-sur-Richelieu",3,21.06,"Reforestation [Type]"
"Saint-Marcel-de-Richelieu",1,55.62,"Reforestation [Type]"
"Saint-Marcel-de-Richelieu",2,0.81,"Reforestation [Type]"
"Saint-Marcel-de-Richelieu",3,28.215,"Reforestation [Type]"
"Saint-Mathias-sur-Richelieu",1,89.28,"Reforestation [Type]"
"Saint-Mathias-sur-Richelieu",2,1.62,"Reforestation [Type]"
"Saint-Mathias-sur-Richelieu",3,45.45,"Reforestation [Type]"
"Saint-Mathieu",1,15.48,"Reforestation [Type]"
"Saint-Mathieu",2,0.81,"Reforestation [Type]"
"Saint-Mathieu",3,8.145,"Reforestation [Type]"
"Saint-Mathieu-de-Beloeil",1,24.3,"Reforestation [Type]"
"Saint-Mathieu-de-Beloeil",2,0.18,"Reforestation [Type]"
"Saint-Mathieu-de-Beloeil",3,12.24,"Reforestation [Type]"
"Saint-Michel",1,87.3,"Reforestation [Type]"
"Saint-Michel",2,15.21,"Reforestation [Type]"
"Saint-Michel",3,51.255,"Reforestation [Type]"
"Saint-Nazaire-d'Acton",1,57.51,"Reforestation [Type]"
"Saint-Nazaire-d'Acton",2,5.67,"Reforestation [Type]"
"Saint-Nazaire-d'Acton",3,31.59,"Reforestation [Type]"
"Saint-Ours",1,59.58,"Reforestation [Type]"
"Saint-Ours",2,2.34,"Reforestation [Type]"
"Saint-Ours",3,30.96,"Reforestation [Type]"
"Saint-Patrice-de-Sherrington",1,162,"Reforestation [Type]"
"Saint-Patrice-de-Sherrington",2,14.13,"Reforestation [Type]"
"Saint-Patrice-de-Sherrington",3,88.065,"Reforestation [Type]"
"Saint-Paul-d'Abbotsford",1,166.23,"Reforestation [Type]"
"Saint-Paul-d'Abbotsford",2,12.96,"Reforestation [Type]"
"Saint-Paul-d'Abbotsford",3,89.595,"Reforestation [Type]"
"Saint-Paul-de-l'Île-aux-Noix",1,3.87,"Reforestation [Type]"
"Saint-Paul-de-l'Île-aux-Noix",2,6.75,"Reforestation [Type]"
"Saint-Paul-de-l'Île-aux-Noix",3,5.31,"Reforestation [Type]"
"Saint-Philippe",1,31.68,"Reforestation [Type]"
"Saint-Philippe",2,4.59,"Reforestation [Type]"
"Saint-Philippe",3,18.135,"Reforestation [Type]"
"Saint-Pie",1,135.81,"Reforestation [Type]"
"Saint-Pie",2,12.51,"Reforestation [Type]"
"Saint-Pie",3,74.16,"Reforestation [Type]"
"Saint-Polycarpe",1,19.62,"Reforestation [Type]"
"Saint-Polycarpe",2,2.16,"Reforestation [Type]"
"Saint-Polycarpe",3,10.89,"Reforestation [Type]"
"Saint-Rémi",1,112.68,"Reforestation [Type]"
"Saint-Rémi",2,7.38,"Reforestation [Type]"
"Saint-Rémi",3,60.03,"Reforestation [Type]"
"Saint-Robert",1,70.92,"Reforestation [Type]"
"Saint-Robert",2,5.22,"Reforestation [Type]"
"Saint-Robert",3,38.07,"Reforestation [Type]"
"Saint-Roch-de-Richelieu",1,42.48,"Reforestation [Type]"
"Saint-Roch-de-Richelieu",2,20.07,"Reforestation [Type]"
"Saint-Roch-de-Richelieu",3,31.275,"Reforestation [Type]"
"Saint-Sébastien",1,5.31,"Reforestation [Type]"
"Saint-Sébastien",2,0.72,"Reforestation [Type]"
"Saint-Sébastien",3,3.015,"Reforestation [Type]"
"Saint-Simon",1,51.21,"Reforestation [Type]"
"Saint-Simon",2,1.17,"Reforestation [Type]"
"Saint-Simon",3,26.19,"Reforestation [Type]"
"Saint-Stanislas-de-Kostka",1,109.62,"Reforestation [Type]"
"Saint-Stanislas-de-Kostka",2,28.71,"Reforestation [Type]"
"Saint-Stanislas-de-Kostka",3,69.165,"Reforestation [Type]"
"Saint-Télesphore",1,38.25,"Reforestation [Type]"
"Saint-Télesphore",2,6.93,"Reforestation [Type]"
"Saint-Télesphore",3,22.59,"Reforestation [Type]"
"Saint-Théodore-d'Acton",1,108.63,"Reforestation [Type]"
"Saint-Théodore-d'Acton",2,15.03,"Reforestation [Type]"
"Saint-Théodore-d'Acton",3,61.83,"Reforestation [Type]"
"Saint-Urbain-Premier",1,88.92,"Reforestation [Type]"
"Saint-Urbain-Premier",2,2.7,"Reforestation [Type]"
"Saint-Urbain-Premier",3,45.81,"Reforestation [Type]"
"Saint-Valentin",1,1.08,"Reforestation [Type]"
"Saint-Valentin",2,0.27,"Reforestation [Type]"
"Saint-Valentin",3,0.675,"Reforestation [Type]"
"Saint-Valérien-de-Milton",1,116.64,"Reforestation [Type]"
"Saint-Valérien-de-Milton",2,4.95,"Reforestation [Type]"
"Saint-Valérien-de-Milton",3,60.795,"Reforestation [Type]"
"Saint-Zotique",1,36.72,"Reforestation [Type]"
"Saint-Zotique",2,41.04,"Reforestation [Type]"
"Saint-Zotique",3,38.88,"Reforestation [Type]"
"Sainte-Angèle-de-Monnoir",1,35.28,"Reforestation [Type]"
"Sainte-Angèle-de-Monnoir",2,0.9,"Reforestation [Type]"
"Sainte-Angèle-de-Monnoir",3,18.09,"Reforestation [Type]"
"Sainte-Anne-de-Sabrevois",1,14.04,"Reforestation [Type]"
"Sainte-Anne-de-Sabrevois",2,13.86,"Reforestation [Type]"
"Sainte-Anne-de-Sabrevois",3,13.95,"Reforestation [Type]"
"Sainte-Anne-de-Sorel",1,18.9,"Reforestation [Type]"
"Sainte-Anne-de-Sorel",2,1.8,"Reforestation [Type]"
"Sainte-Anne-de-Sorel",3,10.35,"Reforestation [Type]"
"Sainte-Barbe",1,46.89,"Reforestation [Type]"
"Sainte-Barbe",2,15.3,"Reforestation [Type]"
"Sainte-Barbe",3,31.095,"Reforestation [Type]"
"Sainte-Brigide-d'Iberville",1,74.79,"Reforestation [Type]"
"Sainte-Brigide-d'Iberville",2,1.8,"Reforestation [Type]"
"Sainte-Brigide-d'Iberville",3,38.295,"Reforestation [Type]"
"Sainte-Catherine",1,29.61,"Reforestation [Type]"
"Sainte-Catherine",2,2.07,"Reforestation [Type]"
"Sainte-Catherine",3,15.84,"Reforestation [Type]"
"Sainte-Cécile-de-Milton",1,140.04,"Reforestation [Type]"
"Sainte-Cécile-de-Milton",2,19.17,"Reforestation [Type]"
"Sainte-Cécile-de-Milton",3,79.605,"Reforestation [Type]"
"Sainte-Christine",1,180.9,"Reforestation [Type]"
"Sainte-Christine",2,9.81,"Reforestation [Type]"
"Sainte-Christine",3,95.355,"Reforestation [Type]"
"Sainte-Clotilde",1,182.16,"Reforestation [Type]"
"Sainte-Clotilde",2,32.31,"Reforestation [Type]"
"Sainte-Clotilde",3,107.235,"Reforestation [Type]"
"Sainte-Hélène-de-Bagot",1,104.04,"Reforestation [Type]"
"Sainte-Hélène-de-Bagot",2,5.94,"Reforestation [Type]"
"Sainte-Hélène-de-Bagot",3,54.99,"Reforestation [Type]"
"Sainte-Julie",1,37.35,"Reforestation [Type]"
"Sainte-Julie",2,6.84,"Reforestation [Type]"
"Sainte-Julie",3,22.095,"Reforestation [Type]"
"Sainte-Justine-de-Newton",1,40.5,"Reforestation [Type]"
"Sainte-Justine-de-Newton",2,5.85,"Reforestation [Type]"
"Sainte-Justine-de-Newton",3,23.175,"Reforestation [Type]"
"Sainte-Madeleine",1,5.67,"Reforestation [Type]"
"Sainte-Madeleine",2,0.09,"Reforestation [Type]"
"Sainte-Madeleine",3,2.88,"Reforestation [Type]"
"Sainte-Marie-Madeleine",1,77.76,"Reforestation [Type]"
"Sainte-Marie-Madeleine",2,19.89,"Reforestation [Type]"
"Sainte-Marie-Madeleine",3,48.825,"Reforestation [Type]"
"Sainte-Marthe",1,19.62,"Reforestation [Type]"
"Sainte-Marthe",2,5.4,"Reforestation [Type]"
"Sainte-Marthe",3,12.51,"Reforestation [Type]"
"Sainte-Martine",1,18.72,"Reforestation [Type]"
"Sainte-Martine",2,1.17,"Reforestation [Type]"
"Sainte-Martine",3,9.945,"Reforestation [Type]"
"Sainte-Sabine",1,98.19,"Reforestation [Type]"
"Sainte-Sabine",2,25.38,"Reforestation [Type]"
"Sainte-Sabine",3,61.785,"Reforestation [Type]"
"Sainte-Victoire-de-Sorel",1,86.85,"Reforestation [Type]"
"Sainte-Victoire-de-Sorel",2,8.46,"Reforestation [Type]"
"Sainte-Victoire-de-Sorel",3,47.655,"Reforestation [Type]"
"Salaberry-de-Valleyfield",1,192.06,"Reforestation [Type]"
