"SecondaryStratumID","TransitionGroupID","Amount"
"Saint-Cyprien-de-Napierville","Deforestation [Type]",0.18
"Saint-Damase","Agricultural Expansion [Type]",2.907
"Saint-Damase","Agricultural Loss [Type]",0.5175
"Saint-Damase","Deforestation [Type]",0.018
"Saint-David","Agricultural Expansion [Type]",5.1255
"Saint-David","Agricultural Loss [Type]",0.3105
"Saint-David","Deforestation [Type]",0.225
"Saint-Denis-sur-Richelieu","Agricultural Expansion [Type]",3.1095
"Saint-Denis-sur-Richelieu","Agricultural Loss [Type]",1.071
"Saint-Denis-sur-Richelieu","Deforestation [Type]",0.0315
"Saint-Dominique","Agricultural Expansion [Type]",7.4205
"Saint-Dominique","Agricultural Loss [Type]",1.656
"Saint-Dominique","Deforestation [Type]",0.198
"Saint-Édouard","Agricultural Expansion [Type]",5.6115
"Saint-Édouard","Agricultural Loss [Type]",1.3005
"Saint-Édouard","Deforestation [Type]",0.054
"Saint-Étienne-de-Beauharnois","Agricultural Expansion [Type]",2.2545
"Saint-Étienne-de-Beauharnois","Agricultural Loss [Type]",0.792
"Saint-Étienne-de-Beauharnois","Deforestation [Type]",0.3375
"Saint-Georges-de-Clarenceville","Agricultural Expansion [Type]",0.8235
"Saint-Georges-de-Clarenceville","Agricultural Loss [Type]",3.7215
"Saint-Georges-de-Clarenceville","Deforestation [Type]",2.07
"Saint-Gérard-Majella","Agricultural Expansion [Type]",1.791
"Saint-Gérard-Majella","Agricultural Loss [Type]",0.594
"Saint-Gérard-Majella","Deforestation [Type]",0.0045
"Saint-Hugues","Agricultural Expansion [Type]",3.1185
"Saint-Hugues","Agricultural Loss [Type]",1.7955
"Saint-Hugues","Deforestation [Type]",0.333
"Saint-Hyacinthe","Agricultural Expansion [Type]",7.326
"Saint-Hyacinthe","Agricultural Loss [Type]",19.7865
"Saint-Hyacinthe","Deforestation [Type]",2.466
"Saint-Ignace-de-Stanbridge","Agricultural Expansion [Type]",5.0805
"Saint-Ignace-de-Stanbridge","Agricultural Loss [Type]",0.963
"Saint-Ignace-de-Stanbridge","Deforestation [Type]",0.711
"Saint-Isidore","Agricultural Expansion [Type]",2.1555
"Saint-Isidore","Agricultural Loss [Type]",1.6065
"Saint-Isidore","Deforestation [Type]",0.027
"Saint-Jacques-le-Mineur","Agricultural Expansion [Type]",0.9045
"Saint-Jacques-le-Mineur","Agricultural Loss [Type]",1.953
"Saint-Jacques-le-Mineur","Deforestation [Type]",0.09
"Saint-Jean-Baptiste","Agricultural Expansion [Type]",2.9385
"Saint-Jean-Baptiste","Agricultural Loss [Type]",1.8135
"Saint-Jean-Baptiste","Deforestation [Type]",0.3555
"Saint-Jean-sur-Richelieu","Agricultural Expansion [Type]",10.1745
"Saint-Jean-sur-Richelieu","Agricultural Loss [Type]",33.8355
"Saint-Jean-sur-Richelieu","Deforestation [Type]",9.171
"Saint-Joachim-de-Shefford","Agricultural Expansion [Type]",18.9585
"Saint-Joachim-de-Shefford","Agricultural Loss [Type]",0.6885
"Saint-Joachim-de-Shefford","Deforestation [Type]",2.2995
"Saint-Joseph-de-Sorel","Agricultural Expansion [Type]",0
"Saint-Joseph-de-Sorel","Agricultural Loss [Type]",0
"Saint-Joseph-de-Sorel","Deforestation [Type]",0.0135
"Saint-Jude","Agricultural Expansion [Type]",4.401
"Saint-Jude","Agricultural Loss [Type]",0.261
"Saint-Jude","Deforestation [Type]",0.2475
"Saint-Lambert","Agricultural Expansion [Type]",0
"Saint-Lambert","Agricultural Loss [Type]",0
"Saint-Lambert","Deforestation [Type]",0.0045
"Saint-Lazare","Agricultural Expansion [Type]",0.5805
"Saint-Lazare","Agricultural Loss [Type]",7.7175
"Saint-Lazare","Deforestation [Type]",26.7165
"Saint-Liboire","Agricultural Expansion [Type]",4.662
"Saint-Liboire","Agricultural Loss [Type]",2.1105
"Saint-Liboire","Deforestation [Type]",0.999
"Saint-Louis","Agricultural Expansion [Type]",3.339
"Saint-Louis","Agricultural Loss [Type]",0.981
"Saint-Louis","Deforestation [Type]",0.207
"Saint-Louis-de-Gonzague","Agricultural Expansion [Type]",3.537
"Saint-Louis-de-Gonzague","Agricultural Loss [Type]",2.25
"Saint-Louis-de-Gonzague","Deforestation [Type]",1.485
"Saint-Marc-sur-Richelieu","Agricultural Expansion [Type]",1.9215
"Saint-Marc-sur-Richelieu","Agricultural Loss [Type]",1.107
"Saint-Marc-sur-Richelieu","Deforestation [Type]",0.1845
"Saint-Marcel-de-Richelieu","Agricultural Expansion [Type]",2.637
"Saint-Marcel-de-Richelieu","Agricultural Loss [Type]",0.6435
"Saint-Marcel-de-Richelieu","Deforestation [Type]",0.1845
"Saint-Mathias-sur-Richelieu","Agricultural Expansion [Type]",4.2255
"Saint-Mathias-sur-Richelieu","Agricultural Loss [Type]",2.043
"Saint-Mathias-sur-Richelieu","Deforestation [Type]",0.3195
"Saint-Mathieu","Agricultural Expansion [Type]",0.63
"Saint-Mathieu","Agricultural Loss [Type]",1.7775
"Saint-Mathieu","Deforestation [Type]",0.1845
"Saint-Mathieu-de-Beloeil","Agricultural Expansion [Type]",0.594
"Saint-Mathieu-de-Beloeil","Agricultural Loss [Type]",5.274
"Saint-Mathieu-de-Beloeil","Deforestation [Type]",0.63
"Saint-Michel","Agricultural Expansion [Type]",4.3605
"Saint-Michel","Agricultural Loss [Type]",1.1205
"Saint-Michel","Deforestation [Type]",0.765
"Saint-Nazaire-d'Acton","Agricultural Expansion [Type]",3.1095
"Saint-Nazaire-d'Acton","Agricultural Loss [Type]",0.8235
"Saint-Nazaire-d'Acton","Deforestation [Type]",0.0495
"Saint-Ours","Agricultural Expansion [Type]",2.8935
"Saint-Ours","Agricultural Loss [Type]",1.593
"Saint-Ours","Deforestation [Type]",0.2025
"Saint-Patrice-de-Sherrington","Agricultural Expansion [Type]",8.7255
"Saint-Patrice-de-Sherrington","Agricultural Loss [Type]",1.233
"Saint-Patrice-de-Sherrington","Deforestation [Type]",0.081
"Saint-Paul-d'Abbotsford","Agricultural Expansion [Type]",8.19
"Saint-Paul-d'Abbotsford","Agricultural Loss [Type]",1.224
"Saint-Paul-d'Abbotsford","Deforestation [Type]",0.7695
"Saint-Paul-de-l'Île-aux-Noix","Agricultural Expansion [Type]",0.009
"Saint-Paul-de-l'Île-aux-Noix","Agricultural Loss [Type]",2.5425
"Saint-Paul-de-l'Île-aux-Noix","Deforestation [Type]",0.522
"Saint-Philippe","Agricultural Expansion [Type]",1.44
"Saint-Philippe","Agricultural Loss [Type]",4.3605
"Saint-Philippe","Deforestation [Type]",0.3735
"Saint-Pie","Agricultural Expansion [Type]",6.3945
"Saint-Pie","Agricultural Loss [Type]",4.3065
"Saint-Pie","Deforestation [Type]",1.0215
"Saint-Polycarpe","Agricultural Expansion [Type]",0.945
"Saint-Polycarpe","Agricultural Loss [Type]",3.3435
"Saint-Polycarpe","Deforestation [Type]",0.144
"Saint-Rémi","Agricultural Expansion [Type]",5.7375
"Saint-Rémi","Agricultural Loss [Type]",4.2705
"Saint-Rémi","Deforestation [Type]",0.2655
"Saint-Robert","Agricultural Expansion [Type]",3.429
"Saint-Robert","Agricultural Loss [Type]",1.233
"Saint-Robert","Deforestation [Type]",0.378
"Saint-Roch-de-Richelieu","Agricultural Expansion [Type]",1.422
"Saint-Roch-de-Richelieu","Agricultural Loss [Type]",1.0665
"Saint-Roch-de-Richelieu","Deforestation [Type]",1.7055
"Saint-Sébastien","Agricultural Expansion [Type]",0.3015
"Saint-Sébastien","Agricultural Loss [Type]",0.5175
"Saint-Sébastien","Deforestation [Type]",0
"Saint-Simon","Agricultural Expansion [Type]",2.4345
"Saint-Simon","Agricultural Loss [Type]",1.1565
"Saint-Simon","Deforestation [Type]",0.1845
"Saint-Stanislas-de-Kostka","Agricultural Expansion [Type]",5.175
"Saint-Stanislas-de-Kostka","Agricultural Loss [Type]",3.4245
"Saint-Stanislas-de-Kostka","Deforestation [Type]",1.7415
"Saint-Télesphore","Agricultural Expansion [Type]",1.8045
"Saint-Télesphore","Agricultural Loss [Type]",1.4445
"Saint-Télesphore","Deforestation [Type]",0.4545
"Saint-Théodore-d'Acton","Agricultural Expansion [Type]",5.0625
"Saint-Théodore-d'Acton","Agricultural Loss [Type]",1.467
"Saint-Théodore-d'Acton","Deforestation [Type]",1.1205
"Saint-Urbain-Premier","Agricultural Expansion [Type]",4.4955
"Saint-Urbain-Premier","Agricultural Loss [Type]",1.8
"Saint-Urbain-Premier","Deforestation [Type]",0.0855
"Saint-Valentin","Agricultural Expansion [Type]",0.0675
"Saint-Valentin","Agricultural Loss [Type]",0.117
"Saint-Valentin","Deforestation [Type]",0
"Saint-Valérien-de-Milton","Agricultural Expansion [Type]",5.661
"Saint-Valérien-de-Milton","Agricultural Loss [Type]",1.5165
"Saint-Valérien-de-Milton","Deforestation [Type]",0.4185
"Saint-Zotique","Agricultural Expansion [Type]",0.54
"Saint-Zotique","Agricultural Loss [Type]",3.132
"Saint-Zotique","Deforestation [Type]",3.348
"Sainte-Angèle-de-Monnoir","Agricultural Expansion [Type]",1.7505
"Sainte-Angèle-de-Monnoir","Agricultural Loss [Type]",0.7605
"Sainte-Angèle-de-Monnoir","Deforestation [Type]",0.0585
"Sainte-Anne-de-Sabrevois","Agricultural Expansion [Type]",0.5805
"Sainte-Anne-de-Sabrevois","Agricultural Loss [Type]",4.032
"Sainte-Anne-de-Sabrevois","Deforestation [Type]",0.8145
"Sainte-Anne-de-Sorel","Agricultural Expansion [Type]",0.621
"Sainte-Anne-de-Sorel","Agricultural Loss [Type]",2.0565
"Sainte-Anne-de-Sorel","Deforestation [Type]",0.414
"Sainte-Barbe","Agricultural Expansion [Type]",1.971
"Sainte-Barbe","Agricultural Loss [Type]",2.6145
"Sainte-Barbe","Deforestation [Type]",1.1385
"Sainte-Brigide-d'Iberville","Agricultural Expansion [Type]",3.663
"Sainte-Brigide-d'Iberville","Agricultural Loss [Type]",1.566
"Sainte-Brigide-d'Iberville","Deforestation [Type]",0.1665
"Sainte-Catherine","Agricultural Expansion [Type]",0.216
"Sainte-Catherine","Agricultural Loss [Type]",1.5885
"Sainte-Catherine","Deforestation [Type]",1.368
"Sainte-Cécile-de-Milton","Agricultural Expansion [Type]",6.8175
"Sainte-Cécile-de-Milton","Agricultural Loss [Type]",1.3905
"Sainte-Cécile-de-Milton","Deforestation [Type]",1.143
"Sainte-Christine","Agricultural Expansion [Type]",8.6715
"Sainte-Christine","Agricultural Loss [Type]",0.909
"Sainte-Christine","Deforestation [Type]",0.864
"Sainte-Clotilde","Agricultural Expansion [Type]",9.2475
"Sainte-Clotilde","Agricultural Loss [Type]",1.4985
"Sainte-Clotilde","Deforestation [Type]",1.476
"Sainte-Hélène-de-Bagot","Agricultural Expansion [Type]",5.0715
"Sainte-Hélène-de-Bagot","Agricultural Loss [Type]",2.3895
"Sainte-Hélène-de-Bagot","Deforestation [Type]",0.4275
"Sainte-Julie","Agricultural Expansion [Type]",1.188
"Sainte-Julie","Agricultural Loss [Type]",12.15
"Sainte-Julie","Deforestation [Type]",1.0215
"Sainte-Justine-de-Newton","Agricultural Expansion [Type]",2.2365
"Sainte-Justine-de-Newton","Agricultural Loss [Type]",0.306
"Sainte-Justine-de-Newton","Deforestation [Type]",0.081
"Sainte-Madeleine","Agricultural Expansion [Type]",0.1485
"Sainte-Madeleine","Agricultural Loss [Type]",0.603
"Sainte-Madeleine","Deforestation [Type]",0.1395
"Sainte-Marie-Madeleine","Agricultural Expansion [Type]",1.584
"Sainte-Marie-Madeleine","Agricultural Loss [Type]",0.828
"Sainte-Marie-Madeleine","Deforestation [Type]",3.2985
"Sainte-Marthe","Agricultural Expansion [Type]",0.801
"Sainte-Marthe","Agricultural Loss [Type]",0.369
"Sainte-Marthe","Deforestation [Type]",0.45
"Sainte-Martine","Agricultural Expansion [Type]",0.8055
"Sainte-Martine","Agricultural Loss [Type]",4.455
"Sainte-Martine","Deforestation [Type]",0.189
"Sainte-Sabine","Agricultural Expansion [Type]",4.6395
"Sainte-Sabine","Agricultural Loss [Type]",1.2285
"Sainte-Sabine","Deforestation [Type]",1.539
"Sainte-Victoire-de-Sorel","Agricultural Expansion [Type]",3.6675
"Sainte-Victoire-de-Sorel","Agricultural Loss [Type]",2.547
"Sainte-Victoire-de-Sorel","Deforestation [Type]",1.098
"Salaberry-de-Valleyfield","Agricultural Expansion [Type]",6.3045
"Salaberry-de-Valleyfield","Agricultural Loss [Type]",15.4755
"Salaberry-de-Valleyfield","Deforestation [Type]",4.3335
"Shefford","Agricultural Expansion [Type]",15.8985
"Shefford","Agricultural Loss [Type]",4.464
"Shefford","Deforestation [Type]",29.709
"Sorel-Tracy","Agricultural Expansion [Type]",2.016
"Sorel-Tracy","Agricultural Loss [Type]",5.4675
"Sorel-Tracy","Deforestation [Type]",16.1055
"Stanbridge East","Agricultural Expansion [Type]",0.675
"Stanbridge East","Agricultural Loss [Type]",1.494
"Stanbridge East","Deforestation [Type]",0.5985
"Stanbridge Station","Agricultural Expansion [Type]",0.1665
"Stanbridge Station","Agricultural Loss [Type]",0.6525
"Stanbridge Station","Deforestation [Type]",0.459
"Sutton","Agricultural Expansion [Type]",3.123
"Sutton","Agricultural Loss [Type]",3.7305
"Sutton","Deforestation [Type]",11.0745
"Terrasse-Vaudreuil","Agricultural Expansion [Type]",0
"Terrasse-Vaudreuil","Agricultural Loss [Type]",0
"Terrasse-Vaudreuil","Deforestation [Type]",0.2205
"Très-Saint-Rédempteur","Agricultural Expansion [Type]",1.017
